distance,Arizona National Scenic Trail,Batona Trail,Benton MacKaye Trail,Big SEKI Loop,Colorado Trail,Continental Divide National Scenic Trail Through the US,John Muir Trail,Laurel Highlands Hiking Trail (Mile 70 - 0),Long Path Trail,New England Trail,North Country National Scenic Trail,Northville,Pacific Crest Trail,Pinhoti Trail,Tahoe Rim Trail,The Appalachian Trail (Georgia to Maine),The Long Trail,The Wonderland Trail,Tuscarora Trail
430,1830.0,-,-,-,3535.0,3208.0,-,-,-,-,-,-,923.0,-,-,974.0,-,-,-
440,1268.0,-,-,-,3498.0,2339.0,-,-,-,-,-,-,884.0,-,-,1540.0,-,-,-
450,1810.0,-,-,-,3291.0,1976.0,-,-,-,-,-,-,1256.0,-,-,1443.0,-,-,-
460,1643.0,-,-,-,3437.0,1971.0,-,-,-,-,-,-,1118.0,-,-,1337.0,-,-,-
470,1714.0,-,-,-,3298.0,2679.0,-,-,-,-,-,-,1368.0,-,-,887.0,-,-,-
480,1984.0,-,-,-,2836.0,3092.0,-,-,-,-,-,-,1469.0,-,-,1020.0,-,-,-
490,2070.0,-,-,-,-,2739.0,-,-,-,-,-,-,1248.0,-,-,739.0,-,-,-
500,2025.0,-,-,-,-,3147.0,-,-,-,-,-,-,905.0,-,-,757.0,-,-,-
510,2165.0,-,-,-,-,3274.0,-,-,-,-,-,-,916.0,-,-,1223.0,-,-,-
520,2295.0,-,-,-,-,2949.0,-,-,-,-,-,-,1334.0,-,-,989.0,-,-,-
530,2278.0,-,-,-,-,3421.0,-,-,-,-,-,-,1845.0,-,-,847.0,-,-,-
540,2237.0,-,-,-,-,3468.0,-,-,-,-,-,-,1385.0,-,-,930.0,-,-,-
550,2157.0,-,-,-,-,3764.0,-,-,-,-,-,-,1563.0,-,-,706.0,-,-,-
560,2185.0,-,-,-,-,3067.0,-,-,-,-,-,-,1733.0,-,-,1161.0,-,-,-
570,2082.0,-,-,-,-,3473.0,-,-,-,-,-,-,1662.0,-,-,1085.0,-,-,-
580,2314.0,-,-,-,-,3686.0,-,-,-,-,-,-,1923.0,-,-,1004.0,-,-,-
590,2723.0,-,-,-,-,3597.0,-,-,-,-,-,-,1953.0,-,-,1101.0,-,-,-
600,2368.0,-,-,-,-,3303.0,-,-,-,-,-,-,1631.0,-,-,1221.0,-,-,-
610,1951.0,-,-,-,-,3788.0,-,-,-,-,-,-,1787.0,-,-,752.0,-,-,-
620,1932.0,-,-,-,-,3705.0,-,-,-,-,-,-,2061.0,-,-,772.0,-,-,-
630,1963.0,-,-,-,-,3576.0,-,-,-,-,-,-,1661.0,-,-,641.0,-,-,-
640,2045.0,-,-,-,-,3620.0,-,-,-,-,-,-,1814.0,-,-,647.0,-,-,-
650,2242.0,-,-,-,-,3539.0,-,-,-,-,-,-,2050.0,-,-,876.0,-,-,-
660,2151.0,-,-,-,-,3942.0,-,-,-,-,-,-,1992.0,-,-,403.0,-,-,-
670,2047.0,-,-,-,-,3213.0,-,-,-,-,-,-,1814.0,-,-,586.0,-,-,-
680,1732.0,-,-,-,-,2953.0,-,-,-,-,-,-,1850.0,-,-,790.0,-,-,-
690,1093.0,-,-,-,-,3237.0,-,-,-,-,-,-,2431.0,-,-,695.0,-,-,-
700,2549.0,-,-,-,-,3421.0,-,-,-,-,-,-,3216.0,-,-,1120.0,-,-,-
710,2781.0,-,-,-,-,3601.0,-,-,-,-,-,-,3127.0,-,-,401.0,-,-,-
720,2675.0,-,-,-,-,3496.0,-,-,-,-,-,-,3153.0,-,-,1021.0,-,-,-
730,2677.0,-,-,-,-,3365.0,-,-,-,-,-,-,3391.0,-,-,469.0,-,-,-
740,2607.0,-,-,-,-,3777.0,-,-,-,-,-,-,3238.0,-,-,1103.0,-,-,-
750,2312.0,-,-,-,-,3424.0,-,-,-,-,-,-,3361.0,-,-,1113.0,-,-,-
760,2039.0,-,-,-,-,3292.0,-,-,-,-,-,-,3143.0,-,-,1133.0,-,-,-
770,1949.0,-,-,-,-,2982.0,-,-,-,-,-,-,3212.0,-,-,1047.0,-,-,-
780,-,-,-,-,-,3282.0,-,-,-,-,-,-,3403.0,-,-,673.0,-,-,-
790,-,-,-,-,-,3470.0,-,-,-,-,-,-,3480.0,-,-,805.0,-,-,-
800,-,-,-,-,-,3088.0,-,-,-,-,-,-,2619.0,-,-,839.0,-,-,-
810,-,-,-,-,-,3230.0,-,-,-,-,-,-,3237.0,-,-,863.0,-,-,-
820,-,-,-,-,-,3535.0,-,-,-,-,-,-,3212.0,-,-,886.0,-,-,-
830,-,-,-,-,-,3435.0,-,-,-,-,-,-,2485.0,-,-,1035.0,-,-,-
840,-,-,-,-,-,3435.0,-,-,-,-,-,-,3311.0,-,-,926.0,-,-,-
850,-,-,-,-,-,3819.0,-,-,-,-,-,-,3042.0,-,-,1026.0,-,-,-
860,-,-,-,-,-,3571.0,-,-,-,-,-,-,3323.0,-,-,775.0,-,-,-
870,-,-,-,-,-,3066.0,-,-,-,-,-,-,3191.0,-,-,939.0,-,-,-
880,-,-,-,-,-,2524.0,-,-,-,-,-,-,2566.0,-,-,417.0,-,-,-
890,-,-,-,-,-,2833.0,-,-,-,-,-,-,2580.0,-,-,517.0,-,-,-
900,-,-,-,-,-,3036.0,-,-,-,-,-,-,3065.0,-,-,335.0,-,-,-
910,-,-,-,-,-,3393.0,-,-,-,-,-,-,2725.0,-,-,385.0,-,-,-
920,-,-,-,-,-,3410.0,-,-,-,-,-,-,2611.0,-,-,455.0,-,-,-
930,-,-,-,-,-,2849.0,-,-,-,-,-,-,2763.0,-,-,144.0,-,-,-
940,-,-,-,-,-,2573.0,-,-,-,-,-,-,2942.0,-,-,364.0,-,-,-
950,-,-,-,-,-,3074.0,-,-,-,-,-,-,2777.0,-,-,402.0,-,-,-
960,-,-,-,-,-,3210.0,-,-,-,-,-,-,2469.0,-,-,517.0,-,-,-
970,-,-,-,-,-,3553.0,-,-,-,-,-,-,2906.0,-,-,342.0,-,-,-
980,-,-,-,-,-,2461.0,-,-,-,-,-,-,2991.0,-,-,623.0,-,-,-
990,-,-,-,-,-,3086.0,-,-,-,-,-,-,2941.0,-,-,599.0,-,-,-
1000,-,-,-,-,-,2849.0,-,-,-,-,-,-,2708.0,-,-,537.0,-,-,-
1010,-,-,-,-,-,3131.0,-,-,-,-,-,-,2553.0,-,-,328.0,-,-,-
1020,-,-,-,-,-,3196.0,-,-,-,-,-,-,2683.0,-,-,292.0,-,-,-
1030,-,-,-,-,-,2658.0,-,-,-,-,-,-,2506.0,-,-,146.0,-,-,-
1040,-,-,-,-,-,2347.0,-,-,-,-,-,-,2714.0,-,-,257.0,-,-,-
1050,-,-,-,-,-,2383.0,-,-,-,-,-,-,2560.0,-,-,214.0,-,-,-
1060,-,-,-,-,-,2267.0,-,-,-,-,-,-,2274.0,-,-,418.0,-,-,-
1070,-,-,-,-,-,2203.0,-,-,-,-,-,-,2459.0,-,-,485.0,-,-,-
1080,-,-,-,-,-,2207.0,-,-,-,-,-,-,2431.0,-,-,172.0,-,-,-
1090,-,-,-,-,-,2126.0,-,-,-,-,-,-,2174.0,-,-,410.0,-,-,-
1100,-,-,-,-,-,2123.0,-,-,-,-,-,-,2538.0,-,-,500.0,-,-,-
1110,-,-,-,-,-,2092.0,-,-,-,-,-,-,2520.0,-,-,380.0,-,-,-
1120,-,-,-,-,-,2185.0,-,-,-,-,-,-,2355.0,-,-,414.0,-,-,-
1130,-,-,-,-,-,2290.0,-,-,-,-,-,-,2527.0,-,-,233.0,-,-,-
1140,-,-,-,-,-,2099.0,-,-,-,-,-,-,2313.0,-,-,433.0,-,-,-
1150,-,-,-,-,-,2301.0,-,-,-,-,-,-,1992.0,-,-,473.0,-,-,-
1160,-,-,-,-,-,2070.0,-,-,-,-,-,-,1468.0,-,-,445.0,-,-,-
1170,-,-,-,-,-,2263.0,-,-,-,-,-,-,2226.0,-,-,466.0,-,-,-
1180,-,-,-,-,-,2243.0,-,-,-,-,-,-,2212.0,-,-,488.0,-,-,-
1190,-,-,-,-,-,2289.0,-,-,-,-,-,-,1797.0,-,-,116.0,-,-,-
1200,-,-,-,-,-,2486.0,-,-,-,-,-,-,2006.0,-,-,457.0,-,-,-
1210,-,-,-,-,-,2483.0,-,-,-,-,-,-,1450.0,-,-,423.0,-,-,-
1220,-,-,-,-,-,3415.0,-,-,-,-,-,-,1415.0,-,-,481.0,-,-,-
1230,-,-,-,-,-,2963.0,-,-,-,-,-,-,1731.0,-,-,391.0,-,-,-
1240,-,-,-,-,-,3207.0,-,-,-,-,-,-,2010.0,-,-,117.0,-,-,-
1250,-,-,-,-,-,3030.0,-,-,-,-,-,-,691.0,-,-,326.0,-,-,-
1260,-,-,-,-,-,3353.0,-,-,-,-,-,-,1684.0,-,-,381.0,-,-,-
1270,-,-,-,-,-,3161.0,-,-,-,-,-,-,2188.0,-,-,228.0,-,-,-
1280,-,-,-,-,-,2721.0,-,-,-,-,-,-,2065.0,-,-,332.0,-,-,-
1290,-,-,-,-,-,2954.0,-,-,-,-,-,-,1706.0,-,-,72.0,-,-,-
1300,-,-,-,-,-,2776.0,-,-,-,-,-,-,1843.0,-,-,199.0,-,-,-
1310,-,-,-,-,-,2893.0,-,-,-,-,-,-,1931.0,-,-,316.0,-,-,-
1320,-,-,-,-,-,2520.0,-,-,-,-,-,-,2009.0,-,-,400.0,-,-,-
1330,-,-,-,-,-,2982.0,-,-,-,-,-,-,1578.0,-,-,178.0,-,-,-
1340,-,-,-,-,-,2650.0,-,-,-,-,-,-,1331.0,-,-,144.0,-,-,-
1350,-,-,-,-,-,2382.0,-,-,-,-,-,-,1546.0,-,-,316.0,-,-,-
1360,-,-,-,-,-,3070.0,-,-,-,-,-,-,1229.0,-,-,395.0,-,-,-
1370,-,-,-,-,-,2542.0,-,-,-,-,-,-,972.0,-,-,173.0,-,-,-
1380,-,-,-,-,-,2285.0,-,-,-,-,-,-,913.0,-,-,529.0,-,-,-
1390,-,-,-,-,-,2426.0,-,-,-,-,-,-,1411.0,-,-,561.0,-,-,-
1400,-,-,-,-,-,2379.0,-,-,-,-,-,-,1594.0,-,-,542.0,-,-,-
1410,-,-,-,-,-,2236.0,-,-,-,-,-,-,1861.0,-,-,533.0,-,-,-
1420,-,-,-,-,-,2600.0,-,-,-,-,-,-,1678.0,-,-,471.0,-,-,-
1430,-,-,-,-,-,2491.0,-,-,-,-,-,-,849.0,-,-,596.0,-,-,-
1440,-,-,-,-,-,2341.0,-,-,-,-,-,-,1114.0,-,-,355.0,-,-,-
1450,-,-,-,-,-,2694.0,-,-,-,-,-,-,1415.0,-,-,553.0,-,-,-
1460,-,-,-,-,-,2047.0,-,-,-,-,-,-,693.0,-,-,342.0,-,-,-
1470,-,-,-,-,-,2284.0,-,-,-,-,-,-,1073.0,-,-,789.0,-,-,-
1480,-,-,-,-,-,2640.0,-,-,-,-,-,-,1986.0,-,-,784.0,-,-,-
1490,-,-,-,-,-,2551.0,-,-,-,-,-,-,2189.0,-,-,987.0,-,-,-
1500,-,-,-,-,-,2425.0,-,-,-,-,-,-,2096.0,-,-,916.0,-,-,-
1510,-,-,-,-,-,2072.0,-,-,-,-,-,-,1913.0,-,-,702.0,-,-,-
1520,-,-,-,-,-,2405.0,-,-,-,-,-,-,1846.0,-,-,988.0,-,-,-
1530,-,-,-,-,-,2507.0,-,-,-,-,-,-,2228.0,-,-,476.0,-,-,-
1540,-,-,-,-,-,2395.0,-,-,-,-,-,-,2098.0,-,-,542.0,-,-,-
1550,-,-,-,-,-,2632.0,-,-,-,-,-,-,2120.0,-,-,607.0,-,-,-
1560,-,-,-,-,-,2573.0,-,-,-,-,-,-,2041.0,-,-,677.0,-,-,-
1570,-,-,-,-,-,2611.0,-,-,-,-,-,-,1985.0,-,-,621.0,-,-,-
1580,-,-,-,-,-,2390.0,-,-,-,-,-,-,1818.0,-,-,309.0,-,-,-
1590,-,-,-,-,-,2672.0,-,-,-,-,-,-,2093.0,-,-,455.0,-,-,-
1600,-,-,-,-,-,2551.0,-,-,-,-,-,-,852.0,-,-,361.0,-,-,-
1610,-,-,-,-,-,2503.0,-,-,-,-,-,-,435.0,-,-,395.0,-,-,-
1620,-,-,-,-,-,2886.0,-,-,-,-,-,-,1763.0,-,-,368.0,-,-,-
1630,-,-,-,-,-,2373.0,-,-,-,-,-,-,1818.0,-,-,664.0,-,-,-
1640,-,-,-,-,-,2326.0,-,-,-,-,-,-,2128.0,-,-,470.0,-,-,-
1650,-,-,-,-,-,2496.0,-,-,-,-,-,-,2154.0,-,-,574.0,-,-,-
1660,-,-,-,-,-,2763.0,-,-,-,-,-,-,1960.0,-,-,998.0,-,-,-
1670,-,-,-,-,-,2142.0,-,-,-,-,-,-,1553.0,-,-,1532.0,-,-,-
1680,-,-,-,-,-,2349.0,-,-,-,-,-,-,1520.0,-,-,1164.0,-,-,-
1690,-,-,-,-,-,2126.0,-,-,-,-,-,-,1400.0,-,-,872.0,-,-,-
1700,-,-,-,-,-,2594.0,-,-,-,-,-,-,1582.0,-,-,1684.0,-,-,-
1710,-,-,-,-,-,2615.0,-,-,-,-,-,-,1780.0,-,-,786.0,-,-,-
1720,-,-,-,-,-,2391.0,-,-,-,-,-,-,1609.0,-,-,1393.0,-,-,-
1730,-,-,-,-,-,2804.0,-,-,-,-,-,-,1809.0,-,-,309.0,-,-,-
1740,-,-,-,-,-,2660.0,-,-,-,-,-,-,1857.0,-,-,736.0,-,-,-
1750,-,-,-,-,-,1764.0,-,-,-,-,-,-,2174.0,-,-,1137.0,-,-,-
1760,-,-,-,-,-,1525.0,-,-,-,-,-,-,1983.0,-,-,838.0,-,-,-
1770,-,-,-,-,-,1696.0,-,-,-,-,-,-,2014.0,-,-,450.0,-,-,-
1780,-,-,-,-,-,2136.0,-,-,-,-,-,-,1770.0,-,-,858.0,-,-,-
1790,-,-,-,-,-,2205.0,-,-,-,-,-,-,1931.0,-,-,794.0,-,-,-
1800,-,-,-,-,-,1782.0,-,-,-,-,-,-,1813.0,-,-,1243.0,-,-,-
1810,-,-,-,-,-,1833.0,-,-,-,-,-,-,2199.0,-,-,1015.0,-,-,-
1820,-,-,-,-,-,2196.0,-,-,-,-,-,-,2030.0,-,-,847.0,-,-,-
1830,-,-,-,-,-,1885.0,-,-,-,-,-,-,1793.0,-,-,1208.0,-,-,-
1840,-,-,-,-,-,2246.0,-,-,-,-,-,-,1731.0,-,-,523.0,-,-,-
1850,-,-,-,-,-,1634.0,-,-,-,-,-,-,2113.0,-,-,460.0,-,-,-
1860,-,-,-,-,-,2457.0,-,-,-,-,-,-,1690.0,-,-,442.0,-,-,-
1870,-,-,-,-,-,1740.0,-,-,-,-,-,-,1824.0,-,-,739.0,-,-,-
1880,-,-,-,-,-,1864.0,-,-,-,-,-,-,1718.0,-,-,258.0,-,-,-
1890,-,-,-,-,-,1845.0,-,-,-,-,-,-,1649.0,-,-,429.0,-,-,-
1900,-,-,-,-,-,1739.0,-,-,-,-,-,-,1649.0,-,-,295.0,-,-,-
1910,-,-,-,-,-,2246.0,-,-,-,-,-,-,1894.0,-,-,587.0,-,-,-
1920,-,-,-,-,-,1781.0,-,-,-,-,-,-,1999.0,-,-,543.0,-,-,-
1930,-,-,-,-,-,1701.0,-,-,-,-,-,-,1742.0,-,-,388.0,-,-,-
1940,-,-,-,-,-,1857.0,-,-,-,-,-,-,1764.0,-,-,225.0,-,-,-
1950,-,-,-,-,-,2115.0,-,-,-,-,-,-,1539.0,-,-,169.0,-,-,-
1960,-,-,-,-,-,2043.0,-,-,-,-,-,-,1692.0,-,-,391.0,-,-,-
1970,-,-,-,-,-,1710.0,-,-,-,-,-,-,1756.0,-,-,344.0,-,-,-
1980,-,-,-,-,-,1595.0,-,-,-,-,-,-,1717.0,-,-,178.0,-,-,-
1990,-,-,-,-,-,1667.0,-,-,-,-,-,-,1702.0,-,-,1151.0,-,-,-
2000,-,-,-,-,-,1446.0,-,-,-,-,-,-,1439.0,-,-,-,-,-,-
2010,-,-,-,-,-,1597.0,-,-,-,-,-,-,1191.0,-,-,-,-,-,-
2020,-,-,-,-,-,2164.0,-,-,-,-,-,-,1061.0,-,-,-,-,-,-
2030,-,-,-,-,-,1720.0,-,-,-,-,-,-,1223.0,-,-,-,-,-,-
2040,-,-,-,-,-,-,-,-,-,-,-,-,1456.0,-,-,-,-,-,-
2050,-,-,-,-,-,-,-,-,-,-,-,-,1466.0,-,-,-,-,-,-
2060,-,-,-,-,-,-,-,-,-,-,-,-,1149.0,-,-,-,-,-,-
2070,-,-,-,-,-,-,-,-,-,-,-,-,1269.0,-,-,-,-,-,-
2080,-,-,-,-,-,-,-,-,-,-,-,-,1162.0,-,-,-,-,-,-
2090,-,-,-,-,-,-,-,-,-,-,-,-,231.0,-,-,-,-,-,-
2100,-,-,-,-,-,-,-,-,-,-,-,-,638.0,-,-,-,-,-,-
2110,-,-,-,-,-,-,-,-,-,-,-,-,471.0,-,-,-,-,-,-
2120,-,-,-,-,-,-,-,-,-,-,-,-,375.0,-,-,-,-,-,-
2130,-,-,-,-,-,-,-,-,-,-,-,-,878.0,-,-,-,-,-,-
2140,-,-,-,-,-,-,-,-,-,-,-,-,1061.0,-,-,-,-,-,-
2150,-,-,-,-,-,-,-,-,-,-,-,-,1448.0,-,-,-,-,-,-
2160,-,-,-,-,-,-,-,-,-,-,-,-,1242.0,-,-,-,-,-,-
2170,-,-,-,-,-,-,-,-,-,-,-,-,1254.0,-,-,-,-,-,-
2180,-,-,-,-,-,-,-,-,-,-,-,-,1782.0,-,-,-,-,-,-
2190,-,-,-,-,-,-,-,-,-,-,-,-,1395.0,-,-,-,-,-,-
2200,-,-,-,-,-,-,-,-,-,-,-,-,1727.0,-,-,-,-,-,-
2210,-,-,-,-,-,-,-,-,-,-,-,-,1754.0,-,-,-,-,-,-
2220,-,-,-,-,-,-,-,-,-,-,-,-,1808.0,-,-,-,-,-,-
2230,-,-,-,-,-,-,-,-,-,-,-,-,1864.0,-,-,-,-,-,-
2240,-,-,-,-,-,-,-,-,-,-,-,-,1574.0,-,-,-,-,-,-
2250,-,-,-,-,-,-,-,-,-,-,-,-,1504.0,-,-,-,-,-,-
2260,-,-,-,-,-,-,-,-,-,-,-,-,1648.0,-,-,-,-,-,-
2270,-,-,-,-,-,-,-,-,-,-,-,-,1892.0,-,-,-,-,-,-
2280,-,-,-,-,-,-,-,-,-,-,-,-,1718.0,-,-,-,-,-,-
2290,-,-,-,-,-,-,-,-,-,-,-,-,1533.0,-,-,-,-,-,-
2300,-,-,-,-,-,-,-,-,-,-,-,-,1365.0,-,-,-,-,-,-
2310,-,-,-,-,-,-,-,-,-,-,-,-,1269.0,-,-,-,-,-,-
2320,-,-,-,-,-,-,-,-,-,-,-,-,1184.0,-,-,-,-,-,-
2330,-,-,-,-,-,-,-,-,-,-,-,-,925.0,-,-,-,-,-,-
2340,-,-,-,-,-,-,-,-,-,-,-,-,1665.0,-,-,-,-,-,-
2350,-,-,-,-,-,-,-,-,-,-,-,-,983.0,-,-,-,-,-,-
2360,-,-,-,-,-,-,-,-,-,-,-,-,1467.0,-,-,-,-,-,-
2370,-,-,-,-,-,-,-,-,-,-,-,-,1349.0,-,-,-,-,-,-
2380,-,-,-,-,-,-,-,-,-,-,-,-,1374.0,-,-,-,-,-,-
2390,-,-,-,-,-,-,-,-,-,-,-,-,1569.0,-,-,-,-,-,-
2400,-,-,-,-,-,-,-,-,-,-,-,-,1207.0,-,-,-,-,-,-
2410,-,-,-,-,-,-,-,-,-,-,-,-,1551.0,-,-,-,-,-,-
2420,-,-,-,-,-,-,-,-,-,-,-,-,1544.0,-,-,-,-,-,-
2430,-,-,-,-,-,-,-,-,-,-,-,-,1641.0,-,-,-,-,-,-
2440,-,-,-,-,-,-,-,-,-,-,-,-,1557.0,-,-,-,-,-,-
2450,-,-,-,-,-,-,-,-,-,-,-,-,1738.0,-,-,-,-,-,-
2460,-,-,-,-,-,-,-,-,-,-,-,-,1420.0,-,-,-,-,-,-
2470,-,-,-,-,-,-,-,-,-,-,-,-,895.0,-,-,-,-,-,-
2480,-,-,-,-,-,-,-,-,-,-,-,-,1399.0,-,-,-,-,-,-
2490,-,-,-,-,-,-,-,-,-,-,-,-,1126.0,-,-,-,-,-,-
2500,-,-,-,-,-,-,-,-,-,-,-,-,657.0,-,-,-,-,-,-
2510,-,-,-,-,-,-,-,-,-,-,-,-,805.0,-,-,-,-,-,-
2520,-,-,-,-,-,-,-,-,-,-,-,-,1423.0,-,-,-,-,-,-
2530,-,-,-,-,-,-,-,-,-,-,-,-,1856.0,-,-,-,-,-,-
2540,-,-,-,-,-,-,-,-,-,-,-,-,1437.0,-,-,-,-,-,-
2550,-,-,-,-,-,-,-,-,-,-,-,-,1960.0,-,-,-,-,-,-
2560,-,-,-,-,-,-,-,-,-,-,-,-,1904.0,-,-,-,-,-,-
2570,-,-,-,-,-,-,-,-,-,-,-,-,1922.0,-,-,-,-,-,-
2580,-,-,-,-,-,-,-,-,-,-,-,-,1486.0,-,-,-,-,-,-
