Latitude,Longitude,Elevation,Distance,Elevation Gain
36.79608000,-118.583220,1550.0,0.0,0.0
36.79617000,-118.583300,1551.0,0.0076328295080701014,1.0
36.79631000,-118.583850,1549.0,0.039563605076146514,3.0
36.79651000,-118.583570,1553.0,0.06032295886190336,7.0
36.79696000,-118.583360,1556.0,0.09351495272574417,10.0
36.79718000,-118.583170,1560.0,0.11199635645914859,14.0
36.79746000,-118.582680,1567.0,0.1453016235927714,21.0
36.79779000,-118.583240,1573.0,0.18377014267286992,27.0
36.79827000,-118.582520,1588.0,0.23560395446119747,42.0
36.79828000,-118.583880,1610.0,0.3108510850512436,64.0
36.79871000,-118.583140,1623.0,0.3614365968916068,77.0
36.79890000,-118.582360,1624.0,0.40654350409230955,78.0
36.79909000,-118.583070,1647.0,0.4479604810408882,101.0
36.79890000,-118.583780,1648.0,0.4893774579887212,102.0
36.79934000,-118.583270,1665.0,0.5308548866949332,119.0
36.79954000,-118.582380,1662.0,0.5819969603989271,122.0
36.79982000,-118.581670,1670.0,0.6257836459414685,130.0
36.79985000,-118.583080,1689.0,0.7038198711754677,149.0
36.80052000,-118.581920,1718.0,0.782950740723037,178.0
36.80064000,-118.581390,1709.0,0.8134225528438364,187.0
36.80097000,-118.581140,1708.0,0.8400904581192076,188.0
36.80137000,-118.581270,1734.0,0.8686482815943494,214.0
36.80101000,-118.581830,1740.0,0.9083793409370687,220.0
36.80106000,-118.582020,1747.0,0.9194441227065405,227.0
36.80078000,-118.583070,1759.0,0.9806716386656886,239.0
36.80076000,-118.583930,1775.0,1.028270889987131,255.0
36.80107000,-118.583220,1777.0,1.0730114966238513,257.0
36.80198000,-118.582470,1797.0,1.1483436360895936,277.0
36.80164000,-118.583210,1811.0,1.195544467549336,291.0
36.80149000,-118.583940,1828.0,1.2372396376635757,308.0
36.80284000,-118.583010,1860.0,1.3437648146658048,340.0
36.80213000,-118.584380,1873.0,1.434048280507686,353.0
36.80275000,-118.583990,1893.0,1.4820129778353046,373.0
36.80316000,-118.583680,1906.0,1.5151282027223694,386.0
36.80413000,-118.583260,1921.0,1.5860622446467114,401.0
36.80591000,-118.582570,1937.0,1.7148359938141524,417.0
36.80493000,-118.583580,1954.0,1.8026243789402487,434.0
36.80369000,-118.584870,1974.0,1.914129365644025,454.0
36.80548000,-118.584540,2015.0,2.0391465777847566,495.0
36.80678000,-118.584050,2029.0,2.1329691189620514,509.0
36.80753000,-118.584020,2044.0,2.184815682318509,524.0
36.80829000,-118.583420,2049.0,2.2469372220133965,529.0
36.80944000,-118.583380,2066.0,2.3264253520327034,546.0
36.80984000,-118.582920,2065.0,2.3639931651031287,547.0
36.81068000,-118.582840,2088.0,2.4222000337548324,570.0
36.81170000,-118.582740,2113.0,2.4928919897141744,595.0
36.81298000,-118.582680,2128.0,2.5813937031998173,610.0
36.81341000,-118.582840,2151.0,2.6123940789398965,633.0
36.81380000,-118.582710,2156.0,2.640283481403071,638.0
36.81479000,-118.582660,2177.0,2.708741765898734,659.0
36.81582000,-118.582110,2198.0,2.7861379075420882,680.0
36.81662000,-118.581550,2203.0,2.849500140815048,685.0
36.81773000,-118.580360,2219.0,2.950566806621021,701.0
36.81786000,-118.580770,2232.0,2.974958875430097,714.0
36.81848000,-118.580540,2240.0,3.0196458535327224,722.0
36.81920000,-118.580650,2248.0,3.0697637325522913,730.0
36.81970000,-118.582140,2283.0,3.159125208300486,765.0
36.82048000,-118.582870,2300.0,3.2264655296980465,782.0
36.82193000,-118.583170,2320.0,3.328015642276535,802.0
36.82284000,-118.582740,2307.0,3.3952382705184214,815.0
36.82324000,-118.581880,2305.0,3.4502499468229413,817.0
36.82398000,-118.581430,2315.0,3.507114930293938,827.0
36.82486000,-118.581300,2329.0,3.56834069694721,841.0
36.82584000,-118.581000,2342.0,3.6380553894067185,854.0
36.82690000,-118.581130,2357.0,3.7116463770919377,869.0
36.82729000,-118.581260,2373.0,3.739535452791537,885.0
36.82772000,-118.581110,2378.0,3.7703820426508403,890.0
36.82863000,-118.581130,2382.0,3.833266698112409,894.0
36.82968000,-118.580780,2397.0,3.908352536796847,909.0
36.83015000,-118.579040,2416.0,4.009912483768453,928.0
36.83033000,-118.578880,2416.0,4.025175855915843,928.0
36.83054000,-118.579090,2421.0,4.0437609529397305,933.0
36.83113000,-118.579720,2434.0,4.09738626475022,946.0
36.83172000,-118.580200,2448.0,4.146032308697658,960.0
36.83202000,-118.578850,2461.0,4.223514274580711,973.0
36.83236000,-118.578360,2462.0,4.259377349518161,974.0
36.83288000,-118.578030,2476.0,4.299675051392616,988.0
36.83346000,-118.577750,2489.0,4.342636670372346,1001.0
36.83411000,-118.577570,2497.0,4.388637240813633,1009.0
36.83592000,-118.577670,2530.0,4.513818367281146,1042.0
36.83567000,-118.577860,2538.0,4.534036239134267,1050.0
36.83510000,-118.577970,2534.0,4.573886440043554,1054.0
36.83472000,-118.578310,2536.0,4.606179847390769,1056.0
36.83474000,-118.578740,2545.0,4.629999006887533,1065.0
36.83488000,-118.579240,2549.0,4.659292210107149,1069.0
36.83596000,-118.580020,2570.0,4.7454825663888,1090.0
36.83667000,-118.580810,2579.0,4.811171213141402,1099.0
36.83716000,-118.581580,2590.0,4.8655702454596454,1110.0
36.83750000,-118.582490,2600.0,4.921104940798515,1120.0
36.83786000,-118.583610,2621.0,4.987846841999858,1141.0
36.83811000,-118.583960,2633.0,5.013788187892449,1153.0
36.83848000,-118.583250,2652.0,5.060638908867604,1172.0
36.83855000,-118.582720,2656.0,5.090342906900765,1176.0
