Latitude,Longitude,Elevation,Distance,Elevation Gain
46.49448000,-91.4384300,376.0,0.0,0.0
46.49441000,-91.4374700,375.0,0.04591836745038117,1.0
46.49433000,-91.4365100,375.0,0.09191470482891673,1.0
46.49439000,-91.4358000,373.0,0.125939802754321,3.0
46.49445000,-91.4350900,371.0,0.1599648636970834,5.0
46.49454000,-91.4343700,370.0,0.19477201195632218,6.0
46.49462000,-91.4336500,371.0,0.22946233185034606,7.0
46.49459000,-91.4331300,373.0,0.2542830556051555,9.0
46.49437000,-91.4322700,372.0,0.2979223327453627,10.0
46.49430000,-91.4318500,370.0,0.3184770325069176,12.0
46.49446000,-91.4312800,369.0,0.3477566165325557,13.0
46.49463000,-91.4305400,367.0,0.38486317311962326,15.0
46.49460000,-91.4299200,365.0,0.41442648759713263,17.0
46.49445000,-91.4294500,367.0,0.43906778462672197,19.0
46.49418000,-91.4283200,367.0,0.49596237919787994,19.0
46.49400000,-91.4276100,369.0,0.5319513578016112,21.0
46.49382000,-91.4268900,371.0,0.5683871681505502,23.0
46.49383000,-91.4260000,369.0,0.6107266427634764,25.0
46.49401000,-91.4252400,369.0,0.648956335799937,25.0
46.49420000,-91.4248900,370.0,0.6701576327461122,26.0
46.49459000,-91.4243900,369.0,0.706098280205296,27.0
46.49497000,-91.4238900,373.0,0.7415237399127398,31.0
46.49550000,-91.4229300,364.0,0.8000560293561061,40.0
46.49624000,-91.4226000,357.0,0.8535401618304472,47.0
46.49623000,-91.4225300,357.0,0.8569405774128503,47.0
46.49602000,-91.4213200,362.0,0.9162939706197274,52.0
46.49617000,-91.4201500,369.0,0.9729008398497826,59.0
46.49615000,-91.4190200,371.0,1.026665995899405,61.0
46.49597000,-91.4175800,377.0,1.0962783529846154,67.0
46.49481000,-91.4159100,374.0,1.2091205576732376,70.0
46.49467000,-91.4155300,373.0,1.2296209775261728,71.0
46.49459000,-91.4150800,374.0,1.2517275962403365,72.0
46.49457000,-91.4147800,375.0,1.2660639843003874,73.0
46.49447000,-91.4135000,379.0,1.3273386197875396,77.0
46.49443000,-91.4124800,384.0,1.3759341463150077,82.0
46.49441000,-91.4114500,388.0,1.4249461864308668,86.0
46.49442000,-91.4100100,391.0,1.4934441244177923,89.0
46.49431000,-91.4078600,396.0,1.5959922736592214,94.0
46.49390000,-91.4062600,400.0,1.6771989216232595,98.0
46.49327000,-91.4046900,392.0,1.7636380736741242,106.0
46.49323000,-91.4040400,395.0,1.7946796480171805,109.0
46.49259000,-91.4026100,399.0,1.8758103899039151,113.0
46.49178000,-91.4010500,395.0,1.9687543743234739,117.0
46.49034000,-91.3995500,385.0,2.091189476788855,127.0
46.48925000,-91.3985200,387.0,2.1810367628984557,129.0
46.48863000,-91.3980000,387.0,2.2305037391188147,129.0
46.48775000,-91.3974100,387.0,2.2974712701178817,129.0
46.48687000,-91.3969300,395.0,2.362419800202683,137.0
46.48556000,-91.3963100,398.0,2.4576165989841154,140.0
46.48438000,-91.3957400,412.0,2.5435380643055416,154.0
46.48349000,-91.3952800,416.0,2.6088092137740304,158.0
46.48240000,-91.3953300,413.0,2.68415849798626,161.0
46.48149000,-91.3954900,411.0,2.7474925538825645,163.0
46.48083000,-91.3957900,407.0,2.7952756938803764,167.0
46.48006000,-91.3956000,405.0,2.8492400871189325,169.0
46.47976000,-91.3955200,404.0,2.870314657797656,170.0
46.47960000,-91.3950300,403.0,2.8961163766414506,171.0
46.47804000,-91.3928900,386.0,3.044389620479099,188.0
46.47753000,-91.3927900,388.0,3.0799469951877123,190.0
46.47594000,-91.3911300,390.0,3.2152519275277047,192.0
46.47564000,-91.3910500,391.0,3.2363265502610585,193.0
46.47515000,-91.3907700,389.0,3.272709422542886,195.0
46.47484000,-91.3902800,389.0,3.3043698296929778,195.0
46.47318000,-91.3877700,406.0,3.4699581965888333,212.0
46.47198000,-91.3869000,404.0,3.562631002064954,214.0
46.47175000,-91.3860800,402.0,3.6047628858377023,216.0
46.47146000,-91.3857000,403.0,3.631752901540845,217.0
46.47112000,-91.3854900,404.0,3.657281745913874,218.0
46.46931000,-91.3824700,404.0,3.8477886289300844,218.0
46.46901000,-91.3821200,404.0,3.874379262762343,218.0
46.46873000,-91.3821000,403.0,3.8937487915061557,219.0
