Latitude,Longitude,Elevation,Distance,Elevation Gain
31.31375000,-108.525700,1419.0,0.0,0.0
31.31415000,-108.525940,1417.0,0.031056762439478806,2.0
31.31455000,-108.526180,1416.0,0.06211349743230638,3.0
31.31495000,-108.526430,1416.0,0.09344387039079949,3.0
31.31535000,-108.526670,1417.0,0.12450055049085884,4.0
31.31576000,-108.526910,1417.0,0.15617363280850785,4.0
31.31616000,-108.527150,1418.0,0.18723025732911464,5.0
31.31656000,-108.527390,1418.0,0.21828685440216986,5.0
31.31696000,-108.527640,1417.0,0.24961707901431268,6.0
31.31736000,-108.527880,1417.0,0.28067362119236217,6.0
31.31776000,-108.528120,1417.0,0.31173013592295745,6.0
31.31816000,-108.528360,1417.0,0.3427866232054933,6.0
31.31856000,-108.528600,1419.0,0.37384308303958297,8.0
31.31896000,-108.528840,1417.0,0.40489951542533215,10.0
31.31937000,-108.529090,1415.0,0.4368407167536957,12.0
31.31977000,-108.529330,1415.0,0.4678970935555412,12.0
31.32017000,-108.529570,1417.0,0.4989534429084272,14.0
31.32057000,-108.529810,1416.0,0.5300097648113115,15.0
31.32097000,-108.530050,1415.0,0.5610660592649552,16.0
31.32137000,-108.530300,1417.0,0.5923959583785693,18.0
31.32177000,-108.530540,1416.0,0.623452197932299,19.0
31.32217000,-108.530780,1415.0,0.6545084100353552,20.0
31.32257000,-108.531020,1417.0,0.6855645946882806,22.0
31.32298000,-108.531260,1418.0,0.7172371911971055,23.0
31.32338000,-108.531510,1419.0,0.7485669419444868,24.0
31.32378000,-108.531750,1419.0,0.7796230435582541,24.0
31.32418000,-108.531990,1417.0,0.8106791177202295,26.0
31.32458000,-108.532230,1416.0,0.8417351644311742,27.0
31.32498000,-108.532470,1419.0,0.8727911836900462,30.0
31.32538000,-108.532720,1421.0,0.9041207868035082,32.0
31.32578000,-108.532960,1420.0,0.9351767511582224,33.0
31.32618000,-108.533200,1421.0,0.9662326880598138,34.0
31.32658000,-108.533440,1420.0,0.9972885975090433,35.0
31.32699000,-108.533680,1419.0,1.028960924168038,36.0
31.32739000,-108.533930,1417.0,1.0602903789035554,38.0
31.32779000,-108.534170,1418.0,1.0913462053068785,39.0
31.32819000,-108.534410,1421.0,1.122402004256179,42.0
31.32859000,-108.534650,1420.0,1.1534577757519997,43.0
31.32899000,-108.534890,1421.0,1.1845135197939538,44.0
31.32939000,-108.535130,1424.0,1.2155692363809996,47.0
31.32979000,-108.535380,1421.0,1.2468985139407691,50.0
31.33019000,-108.535620,1419.0,1.277954175618751,52.0
31.33060000,-108.535860,1418.0,1.3096262593271255,53.0
31.33100000,-108.536100,1420.0,1.3406818654087165,55.0
31.33140000,-108.536340,1421.0,1.3717374440344996,56.0
31.33180000,-108.536590,1421.0,1.4030665732029712,56.0
31.33220000,-108.536830,1418.0,1.4341220969172364,59.0
31.33260000,-108.537070,1422.0,1.4651775931757913,63.0
31.33300000,-108.537310,1423.0,1.496233061978031,64.0
31.33340000,-108.537550,1423.0,1.5272885033235692,64.0
31.33380000,-108.537800,1423.0,1.558617484832536,64.0
31.33421000,-108.538040,1423.0,1.5902893255722232,64.0
31.33461000,-108.538280,1423.0,1.6213446838607637,64.0
31.33501000,-108.538520,1425.0,1.6524000146916529,66.0
31.33541000,-108.538760,1425.0,1.6834553180645044,66.0
31.33581000,-108.539010,1425.0,1.714784151169817,66.0
31.33621000,-108.539250,1425.0,1.7458393996269093,66.0
31.33661000,-108.539490,1425.0,1.7768946206258431,66.0
31.33701000,-108.539730,1425.0,1.8079498141662322,66.0
31.33741000,-108.539970,1428.0,1.8390049802474715,69.0
31.33782000,-108.540220,1429.0,1.870944845598528,70.0
31.33822000,-108.540460,1428.0,1.9019999560750827,71.0
31.33862000,-108.540700,1429.0,1.9330550390925798,72.0
31.33902000,-108.540940,1428.0,1.9641100946506331,73.0
31.33942000,-108.541180,1427.0,1.995165122748201,74.0
31.33982000,-108.541420,1427.0,2.0262201233860444,74.0
31.34022000,-108.541670,1428.0,2.0575486308675983,75.0
31.34062000,-108.541910,1427.0,2.088603576584779,76.0
31.34102000,-108.542150,1428.0,2.119658494840967,77.0
31.34143000,-108.542390,1431.0,2.151329849590966,80.0
31.34183000,-108.542630,1430.0,2.1823847122386244,81.0
31.34223000,-108.542880,1430.0,2.213713071297094,81.0
31.34263000,-108.543120,1430.0,2.2447678790214183,81.0
31.34303000,-108.543360,1430.0,2.2758226592838513,81.0
31.34343000,-108.543600,1429.0,2.306877412084007,82.0
31.34383000,-108.543840,1429.0,2.3379321374219906,82.0
31.34423000,-108.544090,1430.0,2.3692603487897625,83.0
31.34463000,-108.544330,1432.0,2.4003150192024076,85.0
31.34503000,-108.544570,1430.0,2.431369662151886,87.0
31.34544000,-108.544810,1431.0,2.463040746952227,88.0
31.34584000,-108.545050,1432.0,2.4940953342886076,89.0
31.34624000,-108.545300,1432.0,2.5254233972213793,89.0
31.34664000,-108.545540,1432.0,2.556477929630187,89.0
31.34704000,-108.545780,1431.0,2.5875324345744932,90.0
31.34744000,-108.546020,1432.0,2.6185869120548393,91.0
31.34784000,-108.546260,1432.0,2.64964136207084,91.0
31.34824000,-108.546500,1432.0,2.6806957846214527,91.0
31.34864000,-108.546750,1433.0,2.7120236703103577,92.0
31.34905000,-108.546990,1432.0,2.7436945120693177,93.0
31.34945000,-108.547230,1432.0,2.7747488515381993,93.0
31.34985000,-108.547470,1434.0,2.8058031635411815,95.0
31.35025000,-108.547710,1435.0,2.836857448077878,96.0
31.35065000,-108.547960,1435.0,2.8681851853184424,96.0
31.35105000,-108.548200,1433.0,2.8992394149226652,98.0
31.35145000,-108.548440,1434.0,2.9302936170607006,99.0
31.35185000,-108.548680,1434.0,2.961347791731944,99.0
31.35225000,-108.548920,1434.0,2.992401938936009,99.0
31.35266000,-108.549170,1437.0,3.024340729348418,102.0
31.35306000,-108.549410,1436.0,3.05539482093088,103.0
31.35346000,-108.549650,1437.0,3.086448885046037,104.0
31.35386000,-108.549890,1437.0,3.1175029216935046,104.0
31.35426000,-108.550130,1436.0,3.1485569308722403,105.0
31.35466000,-108.550380,1436.0,3.179884371935862,105.0
31.35506000,-108.550620,1436.0,3.2109383261778874,105.0
31.35546000,-108.550860,1437.0,3.2419922529512792,106.0
