Latitude,Longitude,Elevation,Distance,Elevation Gain
39.10439000,-119.897210,2178.0,0.0,0.0
39.10438000,-119.897210,2178.0,0.0006909332637278991,0.0
39.10434000,-119.896780,2181.0,0.023911008411825894,3.0
39.10444000,-119.896940,2181.0,0.034926060014437536,3.0
39.10544000,-119.898040,2203.0,0.12576783583771137,25.0
39.10584000,-119.898400,2205.0,0.15947793489347256,27.0
39.10599000,-119.899090,2197.0,0.1978966931031438,35.0
39.10628000,-119.899290,2203.0,0.22062259293561504,41.0
39.10685000,-119.900420,2205.0,0.29288269421092794,43.0
39.10823000,-119.901050,2200.0,0.3940373324098345,48.0
39.10898000,-119.900900,2212.0,0.4464776319559556,60.0
39.10952000,-119.900440,2219.0,0.4912020063783706,67.0
39.11025000,-119.900310,2229.0,0.5421193879293075,77.0
39.11064000,-119.899780,2241.0,0.5812789925239134,89.0
39.11066000,-119.898880,2249.0,0.6295491507813233,97.0
39.11106000,-119.898630,2256.0,0.6602649155982707,104.0
39.11133000,-119.899960,2257.0,0.733967716009585,105.0
39.11194000,-119.900470,2268.0,0.7842063572025105,116.0
39.11244000,-119.900290,2271.0,0.8200754499101593,119.0
39.11297000,-119.900520,2272.0,0.8587150819003648,120.0
39.11330000,-119.901570,2272.0,0.919447723954449,120.0
39.11401000,-119.901770,2286.0,0.9696620131736676,134.0
39.11461000,-119.901060,2287.0,1.025941060926149,135.0
39.11521000,-119.900810,2281.0,1.0695095714684544,141.0
39.11543000,-119.901620,2289.0,1.115515724658318,149.0
39.11593000,-119.901440,2300.0,1.1513846887958807,160.0
39.11586000,-119.902220,2297.0,1.1934773545224415,163.0
39.11636000,-119.901360,2305.0,1.2510872302991443,171.0
39.11679000,-119.901020,2319.0,1.2859425457386524,185.0
39.11665000,-119.900630,2314.0,1.3089785627302657,190.0
39.11732000,-119.899520,2324.0,1.3843686033815716,200.0
39.11854000,-119.898920,2346.0,1.4745902817504761,222.0
39.11904000,-119.898150,2341.0,1.5284158238338883,227.0
39.11923000,-119.898390,2344.0,1.5467965518453939,230.0
39.11912000,-119.898860,2353.0,1.573112332166021,239.0
39.11947000,-119.899480,2363.0,1.6142142915352555,249.0
39.11998000,-119.899130,2370.0,1.6541352949494965,256.0
39.12018000,-119.898830,2373.0,1.6753382170951696,259.0
39.12089000,-119.898390,2386.0,1.7297698717190066,272.0
39.12105000,-119.898910,2393.0,1.7597559761557704,279.0
39.12098000,-119.899520,2395.0,1.7928099581120183,281.0
39.12104000,-119.899860,2397.0,1.8115007404925094,283.0
39.12154000,-119.899900,2402.0,1.846113877612255,288.0
39.12167000,-119.899510,2407.0,1.8688670746232177,293.0
39.12246000,-119.898430,2421.0,1.94843314347519,307.0
39.12320000,-119.897510,2436.0,2.01946876391673,322.0
39.12323000,-119.899450,2437.0,2.1234772373392987,323.0
39.12376000,-119.900210,2439.0,2.178254197770388,325.0
39.12408000,-119.900250,2439.0,2.200467776650533,325.0
39.12462000,-119.899960,2435.0,2.2408867270829367,329.0
39.12448000,-119.900460,2442.0,2.269379422686082,336.0
39.12413000,-119.901030,2441.0,2.308344350375106,337.0
39.12345000,-119.901870,2450.0,2.3734190919689837,346.0
39.12418000,-119.901710,2456.0,2.42458115508596,352.0
39.12453000,-119.901690,2462.0,2.4487875691134557,358.0
39.12511000,-119.901490,2469.0,2.4902707878566686,365.0
39.12541000,-119.901870,2476.0,2.519331271134754,372.0
39.12578000,-119.901630,2476.0,2.547949948501253,372.0
39.12619000,-119.901540,2478.0,2.576686012676162,374.0
39.12685000,-119.901640,2483.0,2.622601527650226,379.0
39.12712000,-119.901190,2483.0,2.6530936782900545,379.0
39.12799000,-119.900800,2498.0,2.7167357326444255,394.0
39.12818000,-119.900360,2501.0,2.74372658896975,397.0
39.12793000,-119.899880,2493.0,2.774714580122245,405.0
39.12793000,-119.899450,2494.0,2.797761883321153,406.0
39.12819000,-119.898660,2487.0,2.843757688736387,413.0
39.12860000,-119.898330,2492.0,2.877154287756265,418.0
39.12901000,-119.898310,2496.0,2.9055028259216433,422.0
39.12941000,-119.898270,2496.0,2.933223185414006,422.0
39.12999000,-119.897730,2493.0,2.9826559500076524,425.0
39.13037000,-119.897490,2497.0,3.0118931063065104,429.0
39.13075000,-119.896660,2495.0,3.063548348669957,431.0
39.13166000,-119.895920,2493.0,3.1378870863175834,433.0
39.13169000,-119.895360,2487.0,3.167972073811104,439.0
39.13241000,-119.895550,2498.0,3.2187507982884527,450.0
39.13305000,-119.896320,2501.0,3.2792357323535772,453.0
39.13362000,-119.896340,2506.0,3.318633512327972,458.0
39.13371000,-119.895780,2507.0,3.34928359477325,459.0
39.13438000,-119.895640,2517.0,3.3961802369038243,469.0
39.13509000,-119.895400,2519.0,3.4468947055214185,471.0
39.13547000,-119.894870,2527.0,3.485574760223539,479.0
39.13554000,-119.893560,2537.0,3.5559474831255042,489.0
39.13678000,-119.892130,2548.0,3.670897548611244,500.0
39.13786000,-119.891710,2549.0,3.748839110322063,501.0
39.13804000,-119.891070,2553.0,3.785322427216346,505.0
39.13822000,-119.891360,2553.0,3.8052273338944413,505.0
39.13836000,-119.890750,2556.0,3.839318645025875,508.0
39.13862000,-119.890400,2545.0,3.865290275729834,519.0
39.13903000,-119.889790,2553.0,3.9085467617642764,527.0
39.13880000,-119.889230,2551.0,3.942505021589002,529.0
39.13865000,-119.888500,2554.0,3.982975393360036,532.0
39.13882000,-119.887550,2559.0,4.0352234503767015,537.0
39.13900000,-119.888450,2563.0,4.0850321374545535,541.0
39.13931000,-119.888660,2567.0,4.109227593726305,545.0
39.13993000,-119.888440,2584.0,4.153658204218906,562.0
39.14037000,-119.887890,2590.0,4.196001337751238,568.0
39.14053000,-119.886990,2605.0,4.245482052230208,583.0
39.14093000,-119.886790,2610.0,4.2751247869580595,588.0
39.14111000,-119.886780,2614.0,4.287573125594978,592.0
39.14133000,-119.886940,2611.0,4.305025109450918,595.0
39.14155000,-119.886990,2611.0,4.320459984807622,595.0
39.14169000,-119.886990,2613.0,4.330133050496376,597.0
39.14191000,-119.887020,2616.0,4.345418359005803,600.0
39.14234000,-119.887040,2622.0,4.37514781402195,606.0
39.14332000,-119.887080,2637.0,4.442893192496905,621.0
39.14401000,-119.887080,2640.0,4.490567587678911,624.0
39.14433000,-119.887100,2641.0,4.512703411353815,625.0
39.14452000,-119.887080,2643.0,4.525874816893524,627.0
39.14492000,-119.886910,2651.0,4.554974747779738,635.0
39.14528000,-119.886790,2653.0,4.580666065452073,637.0
39.14593000,-119.886740,2661.0,4.6256565748250456,645.0
39.14661000,-119.886590,2667.0,4.673322597533577,651.0
39.14701000,-119.886550,2669.0,4.70104291558806,653.0
39.14732000,-119.886540,2668.0,4.722468548230204,654.0
39.14766000,-119.886450,2672.0,4.7464501675862,658.0
39.14803000,-119.886340,2673.0,4.7726853784230965,659.0
39.14848000,-119.886300,2672.0,4.803851162123058,660.0
39.14873000,-119.886280,2672.0,4.821157704931349,660.0
